id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2701124,Charlesview Suites Back Bay,13822322,Varouj,,Back Bay,42.34492,-71.08482,Entire home/apt,280,29,78,2020-10-17,1.04,1,365
2723274,Lofty Modern 2BD Apt 800 sq ft,8790904,Albert,,Bay Village,42.34868,-71.07043,Entire home/apt,200,29,26,2019-10-27,0.30,1,0
2737853,South End Chic,14008862,Mariel,,South End,42.34278,-71.07005,Entire home/apt,160,91,5,2015-04-13,0.07,1,0
2754975,Perfect Location to Explore Boston,6885890,Jonathan,,Beacon Hill,42.35902,-71.06296,Entire home/apt,150,180,100,2018-10-10,1.75,1,316
2843445,"""Tranquility"" on ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.28278,-71.13878,Private room,85,91,75,2017-12-31,0.88,2,365
2846739,SECOND FLOOR PARLOR ROOM,85770,Robert,,South End,42.34514,-71.07302,Private room,140,29,177,2019-10-31,2.09,4,90
2886933,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,13776857,Katy,,Hyde Park,42.26043,-71.11766,Entire home/apt,249,2,94,2021-07-11,1.12,1,5
2892825,Luxury Sunny Hill Garden Townhouse Suite 1,14785487,Aihua,,Roxbury,42.31018,-71.08543,Entire home/apt,500,28,14,2019-08-31,0.24,5,365
2963419,Garden Oasis #1,15123694,Lucia,,Jamaica Plain,42.31893,-71.11701,Private room,95,91,27,2019-05-25,0.32,1,0
3164650,2bd APT 20min from Downtown Boston,16052189,Jonathan,,Hyde Park,42.23533,-71.13256,Entire home/apt,89,91,33,2021-03-02,1.39,4,38
3193484,Very Short Walk to the Red Line!,16186589,Marie,,Dorchester,42.28814,-71.06889,Private room,40,30,7,2019-09-15,0.10,25,314
3229255,1bd Boston apt - Convenient & quiet,16343599,Ella & Will,,Roslindale,42.28657,-71.13236,Entire home/apt,125,6,118,2021-05-28,1.52,1,95
3294152,"Garden Suite near subway, beach",9898255,Jessica,,Dorchester,42.31281,-71.06098,Entire home/apt,123,2,204,2021-05-16,2.41,5,282
3302294,Back Bay Quiet Renovated Studio Apt,1369968,Christopher,,Back Bay,42.35311,-71.08213,Entire home/apt,175,29,252,2019-06-30,3.03,2,92
3325306,Quiet Southie 2bd Near the Beach and Broadway,10849730,Kara,,South Boston,42.33306,-71.03291,Entire home/apt,65,28,23,2021-03-08,0.27,1,0
3343428,Brownstone Bedroom Park & Garden Views by LMA & T,11228809,Jonathan,,Roxbury,42.32811,-71.09157,Private room,113,2,242,2021-05-24,4.06,5,43
3344322,"Eagle Sea view,15min metro ride to center,safe st!",9898255,Jessica,,Dorchester,42.31311,-71.06232,Private room,70,2,93,2019-11-23,1.53,5,306
3414993,Gorgeous Condo w Huge Patio Back Bay Boston Common,7849580,Ann-Marie,,Downtown,42.35065,-71.0666,Entire home/apt,350,91,0,,,1,0
3441982,New Stylish Modern Studio,13819661,Jen,,Roxbury,42.31907,-71.09252,Entire home/apt,105,3,119,2020-06-30,3.53,1,0
3457722,"Sunlit w/ huge kitchen, parking & easy to downtown",6209951,Jeff And Rachel,,Brighton,42.35564,-71.15746,Entire home/apt,210,3,48,2020-03-17,0.69,1,0
3463914,4th of July Dream Spot!,17452489,Nathaniel,,Back Bay,42.351,-71.08899,Entire home/apt,248,91,27,2016-07-17,0.44,1,0
3493840,"Beautiful, Comfortable and Cozy",11554621,Gretjen,,Jamaica Plain,42.3063,-71.1061,Private room,98,31,7,2020-03-15,0.08,2,314
3520353,Luxury Beacon Hill Apartment 1-BR,6508758,Xerxes,,Beacon Hill,42.35884,-71.06332,Entire home/apt,288,91,251,2020-01-01,3.06,1,332
3521944,"Beautiful, Quiet, and Safe!",17735272,David,,West Roxbury,42.29742,-71.157,Entire home/apt,119,91,4,2014-09-06,0.05,1,0
3539510,The Roseclair w/Central AC! | 3BR 1BA w/En-Suite HdTV's | 2nd Floor near UMass Boston Redline T station!,71783,Lance,,Dorchester,42.32213,-71.06094,Entire home/apt,119,30,31,2019-06-13,0.38,27,284
3544343,Beacon Hill!! Feet Fom State House,17843002,Christian,,Downtown,42.35844,-71.06153,Entire home/apt,100,91,0,,,1,0
3575220,The Artist room in beautiful villa.,13226301,Mohamed,,Roslindale,42.28037,-71.13669,Private room,50,2,31,2021-06-22,0.38,2,284
3602379,"Modern, Spacious 1BR for 4 - Easy Marathon Access!",18150109,Alex,,Roxbury,42.32843,-71.09369,Entire home/apt,167,91,254,2019-11-16,3.45,4,314
3623811,Lux Downtown Boston 1BR Apt w/pool,9419684,Churchill,,Downtown,42.35242,-71.06356,Entire home/apt,314,29,9,2015-02-27,0.11,41,365
3656168,Parking Close 2 Downtown Renovated,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,38,91,6,2015-08-29,0.09,31,365
3677662,Stylish flat near subway/Harvard/BU/BC & Food!,660123,Steffen,,Allston,42.35583,-71.13166,Private room,59,29,53,2019-08-28,0.74,1,297
3705824,Small Rm +walk-in closet Easy to Longwood/Downtown,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,33,91,0,,,31,365
3749523,Grand Colonial in Historic Boston.,3842205,Nicolo,,Charlestown,42.37358,-71.06309,Entire home/apt,250,32,277,2020-11-25,3.39,1,271
3890373,Beacon Hill Fabulous One Bedroom Apartment,19357187,Paul,,Beacon Hill,42.35792,-71.06432,Entire home/apt,125,29,239,2021-06-13,3.05,1,211
3957602,The Hedges: Sunny urban garden home with breakfast,2127414,Katharine (Kit) And Scott,,Jamaica Plain,42.31016,-71.10582,Private room,94,29,128,2020-03-21,1.81,1,0
3965313,Minutes to Boston-Near Beach 69-1,20551003,May,,East Boston,42.38679,-71.00271,Private room,42,91,91,2019-11-11,1.73,1,90
3969526,"Sensational South End- 2BR, no stairs, Location!",5408229,Liesl,,South End,42.33765,-71.07434,Entire home/apt,150,29,344,2020-05-04,4.48,1,85
4000384,Sunlit room with private bath,10910804,Evelyn,,Jamaica Plain,42.31826,-71.09956,Private room,90,29,181,2020-03-01,2.51,1,71
4085362,"""Room with a View""  from ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.28289,-71.14078,Private room,85,91,26,2017-08-27,0.37,2,364
4089940,"North End, 1 Bed Apt w/ office, Boston",20857768,Compass,,North End,42.36722,-71.05266,Entire home/apt,229,14,59,2021-05-20,1.19,6,0
4090224,Sanitized Modern 3BD private home-near BCEC,17783651,Tiffany,,South Boston,42.3357,-71.05395,Entire home/apt,286,1,631,2021-06-28,7.73,1,246
4105704,Sunny Private Studio Aptmt,21299112,Helen,,Jamaica Plain,42.30385,-71.1151,Entire home/apt,125,29,256,2020-12-12,3.13,1,75
4148586,Back Bay Charmer,3588191,Kelly,,Back Bay,42.35491,-71.07463,Entire home/apt,225,91,15,2015-10-27,0.20,1,0
4150640,Luxury Studio Apt in North End,20857768,Compass,,North End,42.36684,-71.0529,Entire home/apt,259,9,27,2021-06-27,10.52,6,0
4233242,Quiet Artist's Retreat,197327,Melissa,,Jamaica Plain,42.31246,-71.10793,Private room,98,29,39,2020-02-03,0.66,2,321
4257929,Two Bedroom Apartment in Kenmore Sq,21926328,Hayden,,Fenway,42.34853,-71.09256,Entire home/apt,250,91,0,,,1,0
4278067,Studio apart Tremont St South End #2,9653086,Glenn,,South End,42.34128,-71.07607,Entire home/apt,100,33,70,2020-12-21,1.40,6,306
4291607,Great location!,16922109,Vanessa,,Brighton,42.33678,-71.15237,Entire home/apt,90,91,4,2015-08-03,0.05,1,0
4294557,Gorgeous and Spacious 2Bed in Historic South End,22288672,Heather,,South End,42.33783,-71.07515,Entire home/apt,280,91,8,2016-09-25,0.11,1,0
4315428,Master Suite@ Logan Airport,22402141,Mirian,,East Boston,42.38903,-71.00251,Private room,100,91,1,2015-11-25,0.01,3,363
4315439,Room Logan Airport + 1/2 bathroom,22402141,Mirian,,East Boston,42.38829,-71.00437,Private room,80,100,5,2019-09-01,0.20,3,365
4348422,Cozy Jamaica Plain Pad,22217451,Ashley,,Jamaica Plain,42.31128,-71.10981,Private room,150,91,0,,,1,0
4364925,large & grand 2 bedroom South End by Copley Sq #3,9653086,Glenn,,South End,42.34128,-71.07607,Entire home/apt,150,33,139,2021-03-06,1.80,6,277
4364989,newly furn one bedroom by Copley #6,9653086,Glenn,,South End,42.34128,-71.07607,Entire home/apt,90,31,79,2021-04-28,1.08,6,267
4410765,"Grt Location, Big 3 Bed,Nr all Colleges, Hospitals",9795590,Patrick,,Brighton,42.35309,-71.14822,Entire home/apt,150,45,9,2019-07-05,0.14,2,230
4460532,Brownstone Bedroom Treetop Skyline View by LMA & T,11228809,Jonathan,,Roxbury,42.32942,-71.09149,Private room,156,2,236,2021-05-01,3.20,5,0
4461111,Queen room in a charming villa,13226301,Mohamed,,Roslindale,42.28026,-71.13584,Private room,50,2,36,2021-06-09,0.61,2,284
4461613,Comfy Beacon Hill Studio Great for Work Travel; #13,22348222,Maverick,,Beacon Hill,42.36017,-71.06346,Entire home/apt,127,1,113,2021-05-15,2.85,55,198
4461846,South End Studio Perfect for Work Travel #36,22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,134,1,83,2021-04-30,2.47,55,224
4461901,"Stylish Downtown Studio in the SouthEnd, #8",22348222,Maverick,,South End,42.34447,-71.07644,Entire home/apt,134,1,127,2021-05-16,4.11,55,216
4500409,"Stylish Studio in Back Bay, on Newbury St; #1",22348222,Maverick,,Back Bay,42.34982,-71.08264,Entire home/apt,128,1,133,2021-05-20,3.48,55,212
4525875,Charming & Historic 2 bed/2 bath w/ private patio,23462166,Corey,,Charlestown,42.37866,-71.06452,Entire home/apt,374,3,44,2021-03-12,1.24,1,237
4526384,5 bedrooms 3 baths monthly Rental now,14785487,Aihua,,Allston,42.35984,-71.12873,Entire home/apt,600,28,33,2019-10-14,0.69,5,344
4555637,Brownstone Loft Bedroom Rooftop Views by LMA & T,11228809,Jonathan,,Roxbury,42.32965,-71.0932,Private room,94,2,264,2021-06-28,5.29,5,56
4566095,The Copley Suite - Radiant & Airy in the South End,5430185,Laura And Olivia,,South End,42.34301,-71.07304,Entire home/apt,150,30,20,2021-03-31,0.89,7,103
4568116,Brownstone Cozy Private Studio by the T & LMA,11228809,Jonathan,,Roxbury,42.32967,-71.09328,Entire home/apt,110,2,484,2021-07-01,6.32,5,43
4573238,"Best Boston location, 2BR (M #2)",5578043,Dror,,North End,42.36424,-71.05259,Entire home/apt,149,29,155,2020-04-04,1.99,4,249
4577188,Unique Fenway/Back Bay/Copley 1 Bed,5618949,Alan,,Fenway,42.345,-71.09514,Entire home/apt,172,3,172,2021-06-27,2.16,5,163
4580825,NEW: Amazing price & location  studio-N End (M1S),5578043,Dror,,North End,42.36329,-71.05233,Entire home/apt,149,2,124,2021-07-11,1.72,4,286
4583526,Lovely private 4 bedroom apt,23759488,Tricia,,Jamaica Plain,42.3043,-71.11465,Entire home/apt,211,2,210,2021-06-29,2.88,1,108
4593974,Parking EZ 2 Downtown/Longwood Larg,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,36,91,7,2017-09-01,0.10,31,365
4593985,Parking Renovated Close to Downtown,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,36,91,1,2015-06-20,0.01,31,365
4602191,2 Bd/Bth Apt in Prime Location Gorgeous Water View,20079643,Alex @ Bcohousing,,West End,42.36452,-71.06928,Entire home/apt,308,90,18,2021-06-04,0.35,11,313
4614037,Boston RooftopTerrace/ 2 Bed / By Logan airport,9073339,Elisangela,,East Boston,42.37775,-71.03398,Entire home/apt,314,1,210,2021-07-05,2.91,3,312
4623114,South End Studio Perfect for Work Travel #46,22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,134,1,109,2021-03-22,2.43,55,222
4624582,Parking Easy to downtown/Longwood,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,35,91,4,2016-10-31,0.05,31,365
4625517,GreenT&bus stops in front of door,7046340,Chun Kei,,Mission Hill,42.33245,-71.10642,Private room,100,91,0,,,1,0
4630071,Charming studio,12165186,Masha,,Brighton,42.34341,-71.15451,Entire home/apt,49,91,14,2021-06-30,0.34,2,261
4632511,Beacon Hill Duplex  2 bedrooms Queen beds sleeps 4,23901135,Lucy,,Beacon Hill,42.35998,-71.06488,Entire home/apt,305,29,69,2021-05-27,1.11,1,265
4662379,Historic House modernized,24124767,Matt,,Brighton,42.34765,-71.15509,Entire home/apt,393,3,120,2021-05-31,2.02,1,272
4699828,Charming Victorian Furnished Home,19466495,Barbara,,Hyde Park,42.2563,-71.12762,Entire home/apt,135,91,105,2019-06-28,1.44,1,150
4710583,Cozy Attic Bedroom in Allston,17892292,Marlene,,Allston,42.35914,-71.13348,Private room,41,91,3,2018-06-19,0.04,5,0
4755586,One Sweet Place,24532370,Andrea,,Mattapan,42.27667,-71.08169,Private room,25,29,20,2021-04-30,0.50,1,191
4757808,Romantic Beacon Hill Studio,3085882,Nino,,Beacon Hill,42.35815,-71.07102,Entire home/apt,110,91,5,2015-10-25,0.07,1,0
4863108,Ensuite Private Room in Boston,8157833,John,,South Boston,42.33717,-71.05,Private room,126,3,221,2021-05-28,3.02,1,297
4909590,"ALLSTON LOADED STUDIO: Steps to BU, BC & hospitals",25279966,Vj,,Allston,42.34838,-71.13163,Entire home/apt,81,180,339,2021-05-13,4.72,2,133
4995033,Modern Beacon Hill 2 Bedroom,11206328,Natasha,,West End,42.36122,-71.06629,Entire home/apt,126,2,101,2021-06-20,2.90,1,2
5019306,Sunny Duplex Condo + Private Parking,15862012,Vicki,,South Boston,42.33257,-71.02959,Entire home/apt,316,3,131,2021-06-29,3.54,1,309
5047340,Beautiful & Spacious 4 BDR / 3 BA w/ FREE Parking,10250028,Michelle,,Allston,42.35779,-71.13347,Entire home/apt,600,7,220,2021-01-12,3.96,2,153
5048406,3rd floor room in Victorian House,26062958,Yvonne,,Dorchester,42.31124,-71.06551,Private room,45,2,31,2019-04-15,0.41,2,346
5049582,Quiet room - Great location!,197327,Melissa,,Jamaica Plain,42.31327,-71.10811,Private room,60,30,23,2020-03-18,0.30,2,315
5064995,Beacon Hill Brownstone,13435932,Tom,,Beacon Hill,42.35921,-71.06759,Entire home/apt,147,91,24,2021-06-01,0.48,2,0
5088560,Stunning SouthEnd/BackBay Penthouse,21609039,Susan,,Roxbury,42.34041,-71.08384,Entire home/apt,464,29,100,2020-12-27,1.41,3,299
5166870,2 Bdrm Apt w/ tower in JP Victorian,1487352,Matt And Eva,,Jamaica Plain,42.30542,-71.10409,Entire home/apt,155,2,235,2021-07-05,3.13,1,263
5222368,Newly-Renovated Condo,1532353,Diana,,Mission Hill,42.32713,-71.10663,Private room,75,1000,0,,,1,0
5317935,Family friendly Boston home,95959,Bandita,,Roxbury,42.32338,-71.09334,Entire home/apt,400,29,9,2018-10-21,0.17,1,161
5358934,"Renovated, Quiet, Free Parking",18517776,Huggy,,Roxbury,42.31681,-71.08001,Private room,42,91,6,2016-07-31,0.12,31,365
5364137,**Studio by Airport and T Station**,23777641,Gavin,,East Boston,42.38704,-71.00581,Entire home/apt,65,60,83,2021-05-02,1.09,2,53
5371051,Beautiful 3 bedroom Dorchester MA,27842033,Bernard,,Dorchester,42.31163,-71.06351,Entire home/apt,85,28,261,2021-06-14,4.07,2,34
5434353,Quiet  Beauty in Boston,9658771,Anthony,,Roslindale,42.28629,-71.13839,Entire home/apt,130,14,26,2021-04-30,0.40,2,223
5478135,City living near the beach!,13595892,Elizabeth,,East Boston,42.38455,-71.00217,Entire home/apt,195,91,27,2016-10-23,0.47,1,0
5495267,Parking Renovated Close to Downtown,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,36,91,2,2016-08-30,0.03,31,365
5509080,Beatiful Fully renovated huge 4 bedrooms in Boston,16605319,Limor,,Brighton,42.34871,-71.15823,Entire home/apt,230,14,0,,,2,44
5526487,$159 Special! *Penthouse Duplex* Close to Center,28662210,Terry,,Mission Hill,42.33211,-71.09842,Entire home/apt,289,3,112,2019-12-25,1.55,4,93
5581575,Private Entrance * King Beds! * Kid Friendly,28766987,Kathy,,Back Bay,42.34628,-71.08064,Entire home/apt,350,29,201,2021-05-30,3.35,1,96
5606682,Between BU/BC & great for groups,29066313,Andy,,Brighton,42.34181,-71.15056,Entire home/apt,90,91,125,2019-06-09,1.73,2,315
5690424,"Beacon Hill House, Huge Roof Deck & Encore Casino",28090138,Gloria,,Beacon Hill,42.35668,-71.07185,Entire home/apt,310,91,124,2020-03-01,1.80,1,20
5709298,Central Boston Beacon Hill 2brm,2006852,Jay,,Beacon Hill,42.35984,-71.06914,Entire home/apt,311,28,337,2021-05-23,4.47,5,303
5717690,City Views|19th Cent. Past on Tremont| 1BR 1BA #5,814298,Thatch,,Roxbury,42.33784,-71.08142,Entire home/apt,280,30,79,2019-08-20,1.06,96,0
5718801,"Heart of South End, Convenient, Comfy Studio #42",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,106,1,131,2021-06-11,3.01,55,232
5718921,"Charming South End Brownstone, 2bedroom with a patio",22348222,Maverick,,South End,42.34455,-71.07628,Entire home/apt,312,29,141,2021-03-07,2.22,55,214
5725804,Brownstone on a tree-lined street,26988,Anne,,Beacon Hill,42.35932,-71.06551,Entire home/apt,146,91,9,2018-08-27,0.21,5,214
5738018,Sunny Two-Bedroom in Boston,7302835,Samuel,,Jamaica Plain,42.32448,-71.10664,Entire home/apt,95,91,0,,,1,0
5739119,"Sunny 2-Bed Apt Next to T, close to BU & BC",18109786,Catherine,,Brighton,42.34252,-71.14392,Entire home/apt,85,28,96,2019-11-02,1.63,1,0
5746844,Share South End Multi-level Loft/ with parking,10778805,Paul,,Roxbury,42.33509,-71.07847,Private room,87,91,9,2015-08-02,0.12,4,364
5768819,"Stylish Downtown Studio in the SouthEnd, C.Ave# 4",22348222,Maverick,,South End,42.34447,-71.07644,Entire home/apt,118,1,122,2021-06-11,2.61,55,221
5769127,"Stylish Downtown Studio in the SouthEnd, C.Ave# 3",22348222,Maverick,,South End,42.34447,-71.07644,Entire home/apt,137,1,210,2021-06-25,3.39,55,198
5775139,Large room located in Allston,29963974,Nesli,,Allston,42.35211,-71.13178,Private room,70,91,0,,,1,0
5781926,Sanctuary in the city w ocean view terrace garden,29573894,Amy,,South Boston,42.33286,-71.04506,Entire home/apt,200,30,36,2020-03-02,1.38,1,314
5782221,"""La Gemma"" - a gem in the North End",18601802,Gina,,North End,42.36726,-71.05424,Entire home/apt,300,3,221,2021-07-05,3.64,1,57
5806428,Close to Airport and Subway,15646805,Meghan,,East Boston,42.37939,-71.02961,Entire home/apt,125,91,31,2019-05-23,0.43,1,89
5813177,Sunny 1BR for Summer,30162455,Patlapa,,Fenway,42.34306,-71.0872,Entire home/apt,62,91,0,,,1,0
5822827,Charming South End Apartment,30221323,Brandon,,South End,42.34184,-71.07116,Entire home/apt,198,91,5,2018-08-19,0.11,1,0
5844314,Walk To Beach or City 1 -Our #1 Requested Room,30342817,Piter & Stacy,,Dorchester,42.31776,-71.05795,Private room,50,29,225,2020-07-05,3.72,5,315
5856633,Condo overlooking Boston Harbour,30408736,Kate,,South Boston,42.33284,-71.04685,Entire home/apt,350,91,1,2016-05-13,0.02,1,0
5870922,The Nantucket Room near Harvard Square,26956083,Todd,,Allston,42.3605,-71.12633,Private room,55,2,226,2021-06-25,3.59,4,121
5884429,"Two Rooms, Private Bath, AC -sleeps 4",15396970,Linda,,Roslindale,42.28516,-71.13772,Private room,115,2,85,2021-07-11,1.19,2,48
5903001,Boston Back Bay/Copley Square,30658962,Marlo,,Back Bay,42.35147,-71.07835,Entire home/apt,186,3,40,2021-06-24,0.57,1,312
5919529,Great location! 3 BD single fam. Kid-friendly.,24196977,Jenny,,Back Bay,42.35009,-71.07023,Entire home/apt,554,91,15,2016-07-15,0.20,2,161
5932402,South End Condo,2221632,Tad,,South End,42.34459,-71.06999,Private room,100,91,0,,,1,0
